Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2018-2019,P3,Echo Media Inc.,Montreal,Quebec,Canada,5 Frères,French,Mystery/Crime/Police,2018-12-18,25000.00,25000.00,Advance,Development Program,
2018-2019,P3,Manifold Pictures Inc.,Calgary,Alberta,Canada,The Red River,English,Historical Drama,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Fluent Films Inc.,Montreal,Quebec,Canada,Sharing Sharon,English,Comedy,2018-11-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Les Productions Galafilm Inc. / Galafilm Productions Inc.,Montreal,Quebec,Canada,"THERE'S A CRACK IN EVERYTHING: LEONARD COHEN, POET OF BROKENNESS (Titre français: IL Y A UNE FAILLE DANS TOUTE CHOSE)",English,Documentary,2018-12-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Les Films du Tricycle Inc.,Les Bergeronnes,Quebec,Canada,Animal Macula,French,Documentary,2018-11-06,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Quadrant Motion Pictures Inc.,Toronto,Ontario,Canada,At the End of the World,English,Drama,2018-11-22,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,WANGO Films Inc.,Toronto,Ontario,Canada,The Corners,English,Drama,2018-10-19,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,136469 Canada Limited o/a Sphinx Productions,Toronto,Ontario,Canada,Carmine Street Guitars,English,,2018-11-05,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,136469 Canada Limited o/a Sphinx Productions,Toronto,Ontario,Canada,Carmine Street Guitars,English,,2018-12-11,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,136469 Canada Limited o/a Sphinx Productions,Toronto,Ontario,Canada,Carmine Street Guitars,English,,2018-12-11,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,136469 Canada Limited o/a Sphinx Productions,Toronto,Ontario,Canada,Carmine Street Guitars,English,,2018-12-11,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,Corporation Wapikoni Mobile,Montreal,Quebec,Canada,Initiative du Wapikoni,,,2018-10-29,50000.00,50000.00,Contribution,Promotion Program,
2018-2019,P3,Films du Boulevard Inc.,Montreal,Quebec,Canada,Devenir un monstre,French,Drama,2018-11-15,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Filmoption International Inc.,Westmount,Quebec,Canada,Les Salopes ou le sucre naturel de la peau,French,,2018-11-16,97500.00,97500.00,Advance,Marketing Program,
2018-2019,P3,The Film Farm Inc.,Toronto,Ontario,Canada,Honourable?,English,Drama,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,The Film Farm Inc.,Toronto,Ontario,Canada,Lord Only Knows I'm Gone,English,Drama,2018-11-21,54400.00,54400.00,Advance,Development Program,
2018-2019,P3,Believerville Productions Inc.,Toronto,Ontario,Canada,Thought Control,English,Thriller,2018-10-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,FILMARTO INC.,Montreal,Quebec,Canada,LNI,French,Comedy,2018-11-19,25000.00,25000.00,Advance,Development Program,
2018-2019,P3,FILMARTO INC.,Montreal,Quebec,Canada,"Husband, Wife and Maid",English,Mystery/Crime/Police,2018-11-19,18480.00,18480.00,Advance,Development Program,
2018-2019,P4,Planet in Focus: International Environmental Film & Video Festival,Toronto,Ontario,Canada,Planet in Focus Environmental Film Festival,,,2019-03-25,3000.00,3000.00,Contribution,Promotion Program,
2018-2019,P3,Productions Avenida inc.,Montreal,Quebec,Canada,Mishka,French,Action/Adventure,2018-12-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,New Brunswick Filmmakers Co-operative Limited,Fredericton,New Brunswick,Canada,Silver Wave Film Festival,,,2018-10-30,3000.00,3000.00,Contribution,Promotion Program,
2018-2019,P4,New Brunswick Filmmakers Co-operative Limited,Fredericton,New Brunswick,Canada,Short Film Venture Program,,,2019-01-23,15000.00,15000.00,Contribution,Promotion Program,
2018-2019,P3,Films Séville Inc. (Les),Montreal,Quebec,Canada,Disparition des lucioles (La),French,Drama,2018-12-04,144937.00,144937.00,Advance,Marketing Program,
2018-2019,P3,Vancouver Asian Film Festival Society,Vancouver,British Columbia,Canada,Vancouver Asian Film Festival,,,2018-10-18,5000.00,5000.00,Contribution,Promotion Program,
2018-2019,P3,Voyelles Films Productions inc.,Montreal,Quebec,Canada,Sin La Habana,English,Drama,2018-11-28,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,Fratel Films,Montpellier,,France,Chien de garde,French,Thriller,2018-10-11,20000.00,20000.00,Contribution,Export Assistance Program,
2018-2019,P3,Victoria Independent Film and Video Festival,Victoria,British Columbia,Canada,Victoria Film Festival and Springboard,,,2018-11-06,32445.00,32445.00,Contribution,Promotion Program,
2018-2019,P3,Aircraft Pictures Limited,Toronto,Ontario,Canada,Daughter of Bells,English,Science fiction/Fantasy/Tale,2018-11-06,25000.00,25000.00,Advance,Development Program,
2018-2019,P3,Sceneries Entertainment Corp.,Burbank,California,United States,NELLY,French,Drama,2018-11-06,19000.00,19000.00,Contribution,Export Assistance Program,
2018-2019,P4,Films Vision 4 Inc.,Montreal,Quebec,Canada,FANNY CLOUTIER ou lannée où jai failli rater mon adolescence,French,Action/Adventure,2019-01-09,30000.00,30000.00,Advance,Development Program,
2018-2019,P4,Films Vision 4 Inc.,Montreal,Quebec,Canada,Le géniteur,French,Comedy,2019-01-09,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,M2 Distributions,Marseille,,France,Primas (previous title - Rocio),French,Documentary,2019-01-11,15000.00,15000.00,Contribution,Export Assistance Program,
2018-2019,P4,"The Charlottetown Film Society, Inc.",Charlottetown,Prince Edward Island,Canada,The Charlottetown Film Festival,,,2019-03-15,2500.00,2500.00,Contribution,Promotion Program,
2018-2019,P3,Euclid 431 Pictures Inc.,Toronto,Ontario,Canada,Giant Little Ones (The),English,Drama,2018-10-04,4000.00,4000.00,Contribution,International Marketing Program,
2018-2019,P3,Les Productions du Moment Inc.,Saint-Basile-le-Grand,Quebec,Canada,Tu es parfaite,French,Drama,2018-12-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Trilight Entertainment Inc.,Calgary,Alberta,Canada,Capricious,English,Thriller,2018-10-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Thoughts From The Asylum Productions Ltd.,Vancouver,British Columbia,Canada,Winners and Losers,English,Comedy,2018-11-19,35000.00,35000.00,Advance,Development Program,
2018-2019,P3,Scythia Films Inc.,Toronto,Ontario,Canada,Private Dreams and Public Nightmares,English,Horror,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Scythia Films Inc.,Toronto,Ontario,Canada,Slash/Back,English,Science fiction/Fantasy/Tale,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Art et Essai Administration Inc.,Montreal,Quebec,Canada,Les deux pieds à terre,French,Drama,2018-12-19,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,Attraction Images inc.,Montreal,Quebec,Canada,Métis,French,Comedy,2018-12-13,21364.00,21364.00,Advance,Development Program,
2018-2019,P3,Attraction Images inc.,Montreal,Quebec,Canada,Royal,French,Drama,2018-12-13,55822.00,55822.00,Advance,Development Program,
2018-2019,P3,Attraction Images inc.,Montreal,Quebec,Canada,Riel,English,Historical Drama,2018-12-13,70162.00,70162.00,Advance,Development Program,
2018-2019,P3,Attraction Images inc.,Montreal,Quebec,Canada,L'apprenti,French,Mystery/Crime/Police,2018-12-13,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Attraction Images inc.,Montreal,Quebec,Canada,L'âge des statues,French,Romantic Comedy,2018-12-13,52651.00,52651.00,Advance,Development Program,
2018-2019,P3,Midnight Lamp Films Inc.,Toronto,Ontario,Canada,Police Woman,English,Documentary,2018-10-31,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Zoofilms Inc.,Mansonville,Quebec,Canada,Les Internes,French,Musical,2018-10-31,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Amalga Créations Médias Inc.,Montreal,Quebec,Canada,Sylvie aime Maurice,French,Musical,2018-11-02,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,David Gross Productions Inc.,Toronto,Ontario,Canada,Deal of a Lifetime,English,Drama,2018-12-06,200000.00,200000.00,Advance,Development Program,
2018-2019,P4,9164-6828 Québec Inc. (d/b/a Productions Loaded Pictures),Montreal,Quebec,Canada,The Misunderstanding,English,Comedy,2019-01-16,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Shore Road Pictures Inc.,Fredericton,New Brunswick,Canada,A Creeping Normalcy,English,Thriller,2018-11-20,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Serendipity Point Films Inc.,Toronto,Ontario,Canada,"All My Love, Vadim",English,Drama,2019-02-11,50673.00,50673.00,Advance,Development Program,
2018-2019,P3,Aetios Productions Inc.,Saint-Sauveur,Quebec,Canada,Stanley Cup Bodyguard,French,Comedy,2018-11-19,30000.00,30000.00,Advance,Development Program,
2018-2019,P3,Aetios Productions Inc.,Saint-Sauveur,Quebec,Canada,Une Promesse,French,Drama,2018-11-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Neophyte Productions Inc.,Toronto,Ontario,Canada,Stage 3,English,Thriller,2018-11-26,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Lyla Films Inc.,Montreal,Quebec,Canada,Hôtel Silence,French,Drama,2019-01-16,75000.00,75000.00,Advance,Development Program,
2018-2019,P3,GROUPE PVP INC.,Matane,Quebec,Canada,Terminal Grand Nord,French,Mystery/Crime/Police,2018-10-31,20000.00,20000.00,Advance,Development Program,
2018-2019,P4,Firecrackers Film Incorporated,Bolton,Ontario,Canada,Firecrackers,English,,2019-03-04,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,Sienna Films Inc.,Toronto,Ontario,Canada,Happy Place,English,Drama,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Sienna Films Inc.,Toronto,Ontario,Canada,Take Me To Church,English,Romantic Comedy,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,8585016 Canada Inc.,Toronto,Ontario,Canada,Roxham Road,English,Thriller,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Gorgeous Mistake Productions Inc.,Dartmouth,Nova Scotia,Canada,Spyderz,English,Horror,2018-12-17,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Bravo Charlie inc.,Montreal,Quebec,Canada,LE PARIA,French,Thriller,2018-11-06,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Christal Films Productions Inc.,Montreal,Quebec,Canada,Grande ligue,French,Drama,2018-10-24,44000.00,44000.00,Advance,Development Program,
2018-2019,P3,Christal Films Productions Inc.,Montreal,Quebec,Canada,Pornopoly,French,Drama,2018-10-24,36000.00,36000.00,Advance,Development Program,
2018-2019,P3,Christal Films Productions Inc.,Montreal,Quebec,Canada,S'enfuir,French,Historical Drama,2018-10-24,55000.00,55000.00,Advance,Development Program,
2018-2019,P3,Christal Films Productions Inc.,Montreal,Quebec,Canada,Morts de rire,French,Mystery/Crime/Police,2018-10-24,43000.00,43000.00,Advance,Development Program,
2018-2019,P3,Christal Films Productions Inc.,Montreal,Quebec,Canada,La Guérite,French,Thriller,2018-10-24,22000.00,22000.00,Advance,Development Program,
2018-2019,P3,Arnait Video Productions Inc.,Igloolik,Nunavut,Canada,Eating souls,English,Documentary,2018-11-29,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Arnait Video Productions Inc.,Igloolik,Nunavut,Canada,"Tia and Piujuq , the sequel (working title)",English,Science fiction/Fantasy/Tale,2018-11-29,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,9106-3545 Québec Inc.,Longueuil,Quebec,Canada,AMERICA,French,Action/Adventure,2018-10-31,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Scythia Films Inc.,Toronto,Ontario,Canada,The Eden Express,English,Drama,2019-01-18,1500.00,1500.00,Contribution,International Marketing Program,
2018-2019,P3,TimeLapse Pictures Productions Inc.,Toronto,Ontario,Canada,Hangar,English,Drama,2018-10-11,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,OP Development Inc.,Winnipeg,Manitoba,Canada,Innercity Girl Like Me,English,Drama,2018-11-08,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,Pitchblack Pictures Inc.,Burnaby,British Columbia,Canada,UNTITLED FAME PARABLE,English,Drama,2018-11-13,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Shadow Shows Incorporated,Toronto,Ontario,Canada,Joni Blank,English,Comedy,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Shadow Shows Incorporated,Toronto,Ontario,Canada,La Fille de la Coiffeuse,French,Drama,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,6710875 Canada inc.,Gatineau,Quebec,Canada,The Papergirl,English,Thriller,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Copperheart Entertainment Inc.,Toronto,Ontario,Canada,BLURRED LINES,English,Science fiction/Fantasy/Tale,2018-11-13,40000.00,40000.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,Les Bombes,French,Comedy,2018-12-19,19740.00,19740.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,Père et filles ( la fille de son  père),French,Comedy,2018-12-19,59724.00,59724.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,Divine Illusion,French,Drama,2018-12-19,49716.00,49716.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,Fille de ma mère,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,Révolution 60,French,Drama,2018-12-19,55646.00,55646.00,Advance,Development Program,
2018-2019,P3,Cinémaginaire Inc.,Montreal,Quebec,Canada,SAM,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Groupe Fair-Play Inc.,Montreal,Quebec,Canada,Samuel de Champlain,French,Historical Drama,2018-11-20,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,H Is For Productions Inc.,Toronto,Ontario,Canada,DERAILED,English,Drama,2018-11-13,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Modern Knots,English,Comedy,2018-12-18,51000.00,51000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Soccer War,English,Drama,2018-12-18,60000.00,60000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Après,French,Drama,2018-12-18,35000.00,35000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Les lignes du parc,French,Drama,2018-12-18,39000.00,39000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Les mondes de Hamdi,French,Drama,2018-12-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Microscope Inc.,Montreal,Quebec,Canada,Les bêtes,French,Science fiction/Fantasy/Tale,2018-12-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Howie Role Productions Inc.,Vancouver,British Columbia,Canada,Defamer,English,Comedy,2019-01-04,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Sugar Shack Films Inc.,Victoria,British Columbia,Canada,Missing: Presumed Dead,English,Historical Drama,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Curiosity Pictures Inc.,Burnaby,British Columbia,Canada,Middle 8,English,Drama,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Productions l'unité centrale inc.,Montreal,Quebec,Canada,D'amour et d'hiver,French,Drama,2019-02-28,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Productions l'unité centrale inc.,Montreal,Quebec,Canada,La mort n'existe pas,French,Drama,2019-02-28,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Screen Siren Pictures Inc.,Vancouver,British Columbia,Canada,Out of the Barren,English,Drama,2018-12-17,20720.00,20720.00,Advance,Development Program,
2018-2019,P3,Screen Siren Pictures Inc.,Vancouver,British Columbia,Canada,Running Girl,English,Thriller,2018-12-17,57120.00,57120.00,Advance,Development Program,
2018-2019,P3,Microclimat Films inc.,Montreal,Quebec,Canada,Halmoni,French,Drama,2018-10-31,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,White Eagle Entertainment Inc.,East York,Ontario,Canada,12 Days,English,Drama,2018-11-09,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Devonshire Productions Inc.,Toronto,Ontario,Canada,Mary,English,Drama,2019-03-05,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Devonshire Productions Inc.,Toronto,Ontario,Canada,Miromiro,English,Drama,2019-03-05,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Max Films Média Inc.,Montreal,Quebec,Canada,FRONTIÈRES (aka 3 Soeurs),French,Thriller,2018-11-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Max Films Média Inc.,Montreal,Quebec,Canada,LA MEUTE,French,Thriller,2018-11-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Films Outsiders Inc. (Les),Montreal,Quebec,Canada,IL ÉTAIT UNE FOIS UNE ZONE DE PAIX,French,Documentary,2019-02-07,25000.00,25000.00,Advance,Development Program,
2018-2019,P4,Films Outsiders Inc. (Les),Montreal,Quebec,Canada,UNE CÉRÉMONIE POUR CHARLIE,French,Drama,2019-02-07,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,9342-2947 QUÉBEC INC.,Orford,Quebec,Canada,Mémé,French,Comedy,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,9215-8534 Québec Inc. (Parallaxes),Saint-Pierre,Quebec,Canada,Lentement la beauté,French,Drama,2018-11-09,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Voyelles Films Productions inc.,Montreal,Quebec,Canada,SEULS,French,Drama,2018-11-27,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Jobro Productions Inc.,Toronto,Ontario,Canada,Generation of Sociopaths,English,Documentary,2018-11-08,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,K.O. 24 Inc.,Montreal,Quebec,Canada,Mr. Thibault,French,Comedy,2018-11-20,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Down In The Valley Productions Inc.,Calgary,Alberta,Canada,"2 Funerals, a Round Dance and a Wedding",English,Comedy,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Down In The Valley Productions Inc.,Calgary,Alberta,Canada,Alberta Number One,English,Drama,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Trinica Entertainment Consultants Inc.,Montreal,Quebec,Canada,The Tree of Samhain,English,Science fiction/Fantasy/Tale,2019-03-26,20000.00,20000.00,Advance,Development Program,
2018-2019,P4,1976 Productions Inc.,Montreal,Quebec,Canada,La ligne jaune,French,Drama,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,1976 Productions Inc.,Montreal,Quebec,Canada,Le Pacte,French,Horror,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Aiken Heart Films Inc.,Toronto,Ontario,Canada,Boring Girls,English,Drama,2018-11-09,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Documentary Organization of Canada,Toronto,Ontario,Canada,DOC & CMPA Mission to Getting Real L.A,,,2019-02-11,10000.00,10000.00,Contribution,Promotion Program,
2018-2019,P4,Karma Film Inc.,Saskatoon,Saskatchewan,Canada,The Power of Nothingness,English,Action/Adventure,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Karma Film Inc.,Saskatoon,Saskatchewan,Canada,Boyfriend,English,Drama,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Karma Film Inc.,Saskatoon,Saskatchewan,Canada,The Truth About Monsters,English,Science fiction/Fantasy/Tale,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Black Dog Films Inc.,Halifax,Nova Scotia,Canada,Riflemen,English,Drama,2018-11-07,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Bad Astronaut Inc.,Halifax,Nova Scotia,Canada,THE KINGS DAUGHTERS,English,Historical Drama,2018-11-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Film Forge Productions Inc.,Toronto,Ontario,Canada,CUTBLOCK 7190,English,Drama,2018-12-14,35000.00,35000.00,Advance,Development Program,
2018-2019,P3,Film Forge Productions Inc.,Toronto,Ontario,Canada,Mizeria,English,Drama,2018-12-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Holdfast Pictures Inc.,Halifax,Nova Scotia,Canada,Birds In Fall,English,Drama,2019-01-03,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Holdfast Pictures Inc.,Halifax,Nova Scotia,Canada,Company Town,English,Drama,2019-01-03,25000.00,25000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,GALWAY GIRLS,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,ISABELLE ET SOPHIE,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,JULIETTE ET L'AMOUR,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,LE DERNIER REPAS,French,Drama,2018-12-19,25000.00,25000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,L'HABITUDE DES BÊTES,French,Drama,2018-12-19,40000.00,40000.00,Advance,Development Program,
2018-2019,P3,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,L'UNIVERS ME COMPREND ET M'ENGLOUTIT,French,Drama,2018-12-19,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Productions Karaman inc.,Brossard,Quebec,Canada,La lumière s'éteignit,French,Science fiction/Fantasy/Tale,2018-11-14,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Lockpicker Productions Inc.,Toronto,Ontario,Canada,Reasons to Travel,English,Drama,2019-01-25,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Lockpicker Productions Inc.,Toronto,Ontario,Canada,Small Victories,English,Historical Drama,2019-01-25,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Montefiore Films Inc.,Sudbury,Ontario,Canada,October Crise,English,Comedy,2018-11-20,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,PUNK Films Inc.,Toronto,Ontario,Canada,Queen Tut,English,Drama,2018-11-06,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Max Films Inc.,Montreal,Quebec,Canada,LETTRES À MARIE-VICTORIN,French,Historical Drama,2018-11-15,90000.00,90000.00,Advance,Development Program,
2018-2019,P3,Max Films Inc.,Montreal,Quebec,Canada,MAGASIN GÉNÉRAL,French,Romantic Comedy,2018-11-15,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Vélocité International inc.,Québec,Quebec,Canada,"Ax, l'affaire Lukkari",French,Action/Adventure,2018-11-05,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Topsail Development Limited,Halifax,Nova Scotia,Canada,Gerrymandering,English,Comedy,2018-11-16,34769.00,34769.00,Advance,Development Program,
2018-2019,P3,Cave Painting Pictures Inc.,Toronto,Ontario,Canada,Knucklebone,English,Action/Adventure,2018-11-06,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Rhombus Media Inc.,Toronto,Ontario,Canada,Child's Play,English,Drama,2019-01-03,131959.00,131959.00,Advance,Development Program,
2018-2019,P4,Rhombus Media Inc.,Toronto,Ontario,Canada,Massey '53,English,Historical Drama,2019-01-03,44800.00,44800.00,Advance,Development Program,
2018-2019,P4,Rhombus Media Inc.,Toronto,Ontario,Canada,One Shot Sonya,English,Western,2019-01-03,22792.00,22792.00,Advance,Development Program,
2018-2019,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Piimpaatow,English,Drama,2019-02-25,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Coppermine,English,Historical Drama,2019-02-25,20000.00,20000.00,Advance,Development Program,
2018-2019,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Evening Chorus,English,Historical Drama,2019-02-25,40000.00,40000.00,Advance,Development Program,
2018-2019,P3,Grassfire Films Inc.,New Waterford,Nova Scotia,Canada,Ophelia,English,Drama,2018-11-27,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Alcina Pictures Ltd.,Toronto,Ontario,Canada,Night Raiders,English,Science fiction/Fantasy/Tale,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Alcina Pictures Ltd.,Toronto,Ontario,Canada,Sharp Corner,English,Thriller,2018-11-21,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,Story Hawk Pictures Inc.,Toronto,Ontario,Canada,Morbus,English,Thriller,2018-11-13,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,A Média Productions Inc.,Montreal,Quebec,Canada,Côté passager,French,Drama,2018-11-14,25000.00,25000.00,Advance,Development Program,
2018-2019,P4,6909060 Canada Inc.,Montreal,Quebec,Canada,Simmer Down,English,Romantic Comedy,2019-02-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Achromatic Media Inc.,Montreal,Quebec,Canada,Aime-Moi,French,Drama,2018-11-08,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,julijette inc.,Winnipeg,Manitoba,Canada,Lemniscate,English,Science fiction/Fantasy/Tale,2018-12-04,20000.00,20000.00,Advance,Development Program,
2018-2019,P3,Productions 10e Ave Inc.,Saint-Augustin-de-Desmaures,Quebec,Canada,Félix 2,French,Action/Adventure,2018-12-20,55000.00,55000.00,Advance,Development Program,
2018-2019,P3,Productions 10e Ave Inc.,Saint-Augustin-de-Desmaures,Quebec,Canada,Le duc de Godendard,French,Science fiction/Fantasy/Tale,2018-12-20,45000.00,45000.00,Advance,Development Program,
2018-2019,P3,Eye Steel Film Inc.,Montreal,Quebec,Canada,Chad Kassam: Renaissance Man of the Blues,English,Documentary,2018-11-08,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Goodbye Productions Inc.,Vancouver,British Columbia,Canada,The Bearded Girl,English,Drama,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Goodbye Productions Inc.,Vancouver,British Columbia,Canada,Once Our Land,English,Science fiction/Fantasy/Tale,2018-11-21,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,CarpeDiem Film & TV Inc.,Montreal,Quebec,Canada,Le Roi des Rêves,French,Action/Adventure,2018-11-05,60000.00,60000.00,Advance,Development Program,
2018-2019,P4,Lithium Studios Productions Inc.,Toronto,Ontario,Canada,You Belong to Me,English,Thriller,2019-01-11,15000.00,15000.00,Advance,Development Program,
2018-2019,P3,Full Regalia Enterprises Inc.,Gibsons,British Columbia,Canada,#memorymaker (working title),English,Thriller,2018-10-18,15000.00,15000.00,Advance,Development Program,
2018-2019,P4,Documentary Organization of Canada,Toronto,Ontario,Canada,Festival Concierge,,,2019-03-11,8000.00,8000.00,Contribution,Promotion Program,
