Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2016-2017,P4,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Maudite poutine,French,Drama,2017-02-10,28000.00,28000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,January Films Ltd.,Toronto,Ontario,Canada,Portfolio 2016-2017 January Films Ltd. - 2,English,Historical Drama,2017-02-10,75000.00,75000.00,Recoupable Advance,Development Program,
2016-2017,P4,Clique Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Clique Pictures Inc.,English,Science fiction/Fantasy/Tale,2017-02-13,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Gearshift Films Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Gearshift Films Inc.,English,Drama,2017-02-13,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Item 7 Copro inc,Montreal,Quebec,Canada,Fils de Jean (Le),French,Drama,2017-02-14,2968.00,2968.00,Contribution,International Marketing Program,
2016-2017,P4,Meditation Park Film Ltd. ,Vancouver,British Columbia,Canada,Meditation Park,English,Drama,2017-02-15,76290.00,76290.00,Recoupable Advance,Production Program,
2016-2017,P4,Elevation Pictures Corp.,Toronto,Ontario,Canada,Into The Forest,English,Drama,2017-02-16,232136.00,232136.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Juste la fin du monde,French,Drama,2017-02-16,25000.00,25000.00,Contribution,International Marketing Program,
2016-2017,P4,Brightlight Pictures Development Inc.,Burnaby,British Columbia,Canada,Portfolio 2016-2017 Brightlight Pictures Development Inc.,English,Drama,2017-02-16,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Cyclotron (Le),French,Historical Drama,2017-02-17,32000.00,32000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,NELLY,French,Drama,2017-02-17,203546.00,203546.00,Recoupable Advance,Marketing Program,
2016-2017,P4,H20 Motion Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 H20 Motion Pictures Inc.,English,Drama,2017-02-17,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Kunuk Cohn Productions Inc.,Montreal,Quebec,Canada,Portfolio 2016-2017 Kunuk Cohn Productions Inc.,English,Historical Drama,2017-02-17,30000.00,30000.00,Recoupable Advance,Development Program,
2016-2017,P4,Possibles Média inc.,Montreal,Quebec,Canada,Portfolio 2016-2017 Possibles Média inc.,French,Drama,2017-02-17,45000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Possibles Média inc.,Montreal,Quebec,Canada,Portfolio 2016-2017 Possibles Média inc.,English,Drama,2017-02-17,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Possibles Média inc.,Montreal,Quebec,Canada,Portfolio 2016-2017 Possibles Média inc.,English,Drama,2017-02-17,30000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Realm Productions & Advertising Inc.,St. John,New Brunswick,Canada,Portfolio 2016-2017 Realm Productions & Advertising Inc.,English,Horror,2017-02-17,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Chantale Pagé consultation (L'Atelier de distribution),Montreal,Quebec,Canada,Érotisme et le vieil âge (L'),French,Documentary,2017-02-17,25000.00,25000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,9348-4566 Québec Inc.,Montreal,Quebec,Canada,Junior Majeur,French,Drama,2017-02-20,2500000.00,2500000.00,Investment,Production Program,
2016-2017,P4,Meditation Park Film Ltd. ,Vancouver,British Columbia,Canada,Meditation Park,English,Drama,2017-02-21,0.00,76290.00,Recoupable Advance,Production Program,Amended contract signed  15-FEB-17
2016-2017,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Buffalo Gal Pictures Inc.,English,Historical Drama,2017-02-21,46500.00,31500.00,Recoupable Advance,Development Program,
2016-2017,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Buffalo Gal Pictures Inc.,English,Drama,2017-02-21,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Buffalo Gal Pictures Inc.,English,Historical Drama,2017-02-21,80000.00,33500.00,Recoupable Advance,Development Program,
